"Strongs","Word_Use","Count"
"H3722","atonement","71"
"H3722","purge","7"
"H3722","reconciliation","4"
"H3722","reconcile","3"
"H3722","forgive","3"
"H3722","purge away","2"
"H3722","pacify","2"
"H3722","atonement...made","2"
"H3722","merciful","2"
"H3722","cleansed","1"
"H3722","disannulled","1"
"H3722","appease","1"
"H3722","put off","1"
"H3722","pardon","1"
"H3722","pitch","1"
"H5375","(bare, lift, etc...) up","219"
"H5375","bear","115"
"H5375","take","58"
"H5375","bare","34"
"H5375","carry","30"
"H5375","(take, carry)..away","22"
"H5375","borne","22"
"H5375","armourbearer","18"
"H5375","forgive","16"
"H5375","accept","12"
"H5375","exalt","8"
"H5375","regard","5"
"H5375","obtained","4"
"H5375","respect","3"
"H5375","miscellaneous","74"
"H5545","forgive","19"
"H5545","forgiven","13"
"H5545","pardon","13"
"H5545","spare","1"
"H5546","ready to forgive","1"
"H5547","forgiveness","2"
"H5547","pardon","1"
"G859","remission","9"
"G859","forgiveness","6"
"G859","deliverance","1"
"G859","liberty","1"
"G863","leave","52"
"G863","forgive","47"
"G863","suffer","14"
"G863","let","8"
"G863","forsake","6"
"G863","let alone","6"
"G863","miscellaneous","13"
"G5483","forgive","11"
"G5483","give","6"
"G5483","freely give","2"
"G5483","deliver","2"
"G5483","grant","1"
"G5483","frankly forgive","1"
